,listing_id,negative_sentiment,neutral_sentiment,positive_sentiment,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,3353,0.0263529411764705,0.7042058823529412,0.2693823529411765,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$40.00,0,0,0,249,34,9.0,8.0,9.0,9.0,9.0,9.0,0.38
1,5506,0.0115833333333333,0.7160555555555556,0.2723888888888888,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Heating,Washer,Dryer}",$145.00,14,39,69,344,36,9.0,10.0,10.0,10.0,9.0,10.0,0.4
2,6695,0.0173191489361702,0.732872340425532,0.2497872340425532,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$195.00,3,19,49,324,47,9.0,10.0,10.0,10.0,8.0,9.0,0.54
3,6976,0.0108536585365853,0.7244878048780488,0.2646585365853658,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$65.00,19,46,61,319,41,10.0,9.0,10.0,10.0,9.0,10.0,0.47
4,8792,0.0157222222222222,0.6900555555555555,0.2942777777777777,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating}",$154.00,0,0,0,248,18,10.0,9.0,10.0,9.0,10.0,10.0,0.21
5,9273,0.017076923076923,0.7657692307692308,0.2171538461538461,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",$225.00,29,59,89,364,13,10.0,10.0,10.0,10.0,9.0,9.0,0.18
6,9765,0.0362222222222222,0.7316666666666667,0.232,Apartment,Entire home/apt,2,1.0,,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Indoor Fireplace"",Heating,Washer,Dryer}",$229.00,27,57,87,362,9,10.0,10.0,10.0,9.0,10.0,8.0,0.15
7,9824,0.0338181818181818,0.6991818181818181,0.2670454545454545,Apartment,Entire home/apt,2,1.0,,1.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating}",$209.00,10,29,48,323,22,8.0,9.0,10.0,9.0,10.0,8.0,0.35
8,9855,0.0053333333333333,0.7103333333333333,0.2846666666666667,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$259.00,29,59,89,364,3,,,,,,,0.04
9,9857,0.0087619047619047,0.6473809523809524,0.3438571428571428,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}",$342.00,15,42,72,347,21,9.0,10.0,10.0,10.0,10.0,9.0,0.35
10,9858,0.0,1.0,0.0,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Gym,""Elevator in Building"",Heating,Washer,Dryer,Essentials}",$449.00,29,59,89,364,1,,,,,,,0.07
11,9860,0.0419090909090909,0.6478636363636364,0.3101818181818181,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$251.00,18,48,78,353,22,8.0,9.0,10.0,9.0,10.0,9.0,0.28
12,9870,0.0123333333333333,0.6076666666666667,0.3801666666666667,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$279.00,27,57,87,362,6,9.0,7.0,10.0,9.0,10.0,8.0,0.12
13,10730,0.0168095238095238,0.6952857142857143,0.2878571428571428,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,""Elevator in Building"",Heating}",$150.00,0,0,0,94,21,10.0,9.0,10.0,10.0,10.0,9.0,0.25
14,10758,0.023,0.7535000000000001,0.2235,,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}",$115.00,3,13,43,43,2,6.0,5.0,8.0,8.0,8.0,7.0,0.09
15,10807,0.0,1.0,0.0,House,Private room,2,1.0,1.0,1.0,Real Bed,{},$80.00,3,3,3,243,1,10.0,4.0,4.0,6.0,8.0,8.0,0.04
16,10809,0.0372857142857142,0.7285714285714285,0.2342142857142857,Apartment,Private room,4,0.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Heating}",$100.00,3,13,43,43,14,7.0,7.0,9.0,9.0,8.0,7.0,0.48
17,10811,0.031,0.7040000000000001,0.2649999999999999,Condominium,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Indoor Fireplace"",Heating,Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$165.00,30,60,90,365,3,9.0,10.0,9.0,8.0,10.0,9.0,0.37
18,12356,0.0258888888888888,0.7095555555555556,0.2646666666666666,Condominium,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$200.00,0,0,0,273,9,10.0,10.0,10.0,10.0,10.0,10.0,0.42
19,12441,0.0400344827586206,0.6744137931034483,0.2854827586206896,Apartment,Entire home/apt,6,3.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",$399.00,7,18,35,305,29,8.0,9.0,9.0,9.0,10.0,8.0,0.38
20,13059,0.0396923076923076,0.7827692307692308,0.1775384615384615,Boat,Entire home/apt,10,2.0,3.0,6.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly""}",$375.00,28,54,58,333,13,9.0,10.0,10.0,9.0,10.0,10.0,0.2
21,13589,0.0225961538461538,0.6765,0.3009423076923077,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$389.00,5,24,36,308,52,8.0,9.0,10.0,9.0,10.0,9.0,0.67
22,13592,0.0414,0.706,0.2526,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$359.00,19,49,79,354,15,7.0,9.0,10.0,9.0,10.0,7.0,0.21
23,18711,0.0224117647058823,0.7135882352941176,0.2640588235294117,Apartment,Entire home/apt,6,1.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Fire Extinguisher"",Essentials}",$126.00,11,41,62,337,17,9.0,9.0,9.0,9.0,9.0,9.0,0.22
24,20000,0.0177121771217712,0.7135867158671587,0.2687011070110701,House,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly""}",$75.00,13,36,66,341,271,9.0,9.0,9.0,9.0,9.0,9.0,3.44
25,21337,0.0931818181818181,0.6869090909090909,0.2199090909090909,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}",$329.00,29,59,89,364,11,9.0,9.0,10.0,10.0,10.0,8.0,0.15
26,21891,0.0179523809523809,0.6082380952380952,0.3738571428571428,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Pets Allowed"",Doorman,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers}",$349.00,29,59,89,364,21,9.0,9.0,9.0,9.0,10.0,9.0,0.32
27,22208,0.0,0.73025,0.26975,Apartment,Entire home/apt,2,1.0,,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer}",$225.00,24,54,82,357,4,10.0,9.0,10.0,10.0,9.0,9.0,0.05
28,22212,0.0215652173913043,0.7031739130434782,0.2751739130434782,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly""}",$285.00,27,54,79,348,23,9.0,9.0,10.0,9.0,10.0,8.0,0.34
29,22354,0.0169860465116279,0.706153488372093,0.276860465116279,Bed & Breakfast,Private room,1,,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Smoke Detector""}",$135.00,6,34,61,336,215,9.0,8.0,9.0,9.0,10.0,9.0,3.46
30,23619,0.0146692913385826,0.7171259842519685,0.2681811023622047,Apartment,Entire home/apt,2,1.0,,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Doorman,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$175.00,2,8,8,252,127,9.0,9.0,10.0,10.0,10.0,9.0,1.67
31,24240,0.008027027027027,0.7146756756756757,0.2772702702702703,Boat,Entire home/apt,6,2.0,2.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Family/Kid Friendly"",Essentials}",$250.00,6,12,12,251,37,10.0,9.0,10.0,10.0,10.0,9.0,0.52
32,25142,0.0143333333333333,0.721,0.2646666666666666,Apartment,Entire home/apt,4,,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Pets Allowed"",Doorman,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",$349.00,29,59,89,364,9,9.0,10.0,9.0,9.0,9.0,9.0,0.12
33,25418,0.0,0.66675,0.33325,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",$249.00,29,59,89,364,4,8.0,9.0,8.0,8.0,8.0,8.0,0.06
34,27141,0.01275,0.7275,0.25975,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}",$279.00,24,54,84,359,4,8.0,8.0,8.0,10.0,9.0,8.0,0.06
35,27611,0.01,0.6905,0.299375,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$185.00,18,43,73,73,8,9.0,10.0,10.0,10.0,10.0,9.0,0.29
36,28150,0.0371904761904761,0.7468571428571428,0.2158571428571429,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$251.00,21,51,81,356,21,8.0,8.0,9.0,9.0,10.0,8.0,0.36
37,29155,0.0258709677419354,0.7211290322580646,0.2530322580645161,Apartment,Entire home/apt,6,1.5,3.0,3.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials}",$451.00,5,25,44,311,31,8.0,9.0,10.0,10.0,10.0,9.0,0.6
38,29765,0.0095444444444444,0.7157111111111111,0.2746888888888889,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$295.00,2,12,36,269,90,10.0,10.0,10.0,10.0,10.0,10.0,1.17
39,31796,0.0170996563573883,0.7137250859106529,0.2657525773195876,House,Private room,4,2.5,1.0,2.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""translation missing: en.hosting_amenity_50""}",$65.00,2,18,43,318,291,9.0,9.0,9.0,9.0,8.0,9.0,3.83
40,36885,0.014432,0.7105520000000001,0.275032,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$155.00,0,2,22,53,125,10.0,10.0,10.0,10.0,10.0,9.0,1.67
41,38579,0.00925,0.5075,0.48325,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers}",$299.00,29,59,89,364,4,8.0,9.0,10.0,9.0,9.0,9.0,0.08
42,39116,0.0064347826086956,0.6715869565217392,0.322,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Pets live on this property"",Dog(s),""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$99.00,0,0,0,251,46,10.0,10.0,10.0,10.0,10.0,10.0,0.62
43,40601,0.019090909090909,0.6888909090909091,0.2920181818181818,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$95.00,0,0,0,259,55,10.0,10.0,10.0,10.0,10.0,10.0,0.75
44,44205,0.0130263157894736,0.6902631578947368,0.29675,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Breakfast,""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$235.00,6,19,37,264,76,10.0,10.0,10.0,10.0,10.0,10.0,1.04
45,45987,0.0140918367346938,0.6768979591836735,0.3089897959183673,Apartment,Entire home/apt,3,0.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo}",$125.00,30,60,90,365,98,9.0,9.0,9.0,9.0,10.0,9.0,1.33
46,47521,0.015655601659751,0.6952614107883817,0.2890705394190871,House,Private room,3,2.5,1.0,3.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door""}",$55.00,5,8,38,313,241,9.0,9.0,9.0,9.0,8.0,9.0,3.3
47,48612,0.0121599999999999,0.6912,0.29664,Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",$375.00,7,15,45,45,25,10.0,9.0,10.0,10.0,10.0,9.0,0.35
48,50032,0.0290666666666666,0.7681333333333333,0.2028,Apartment,Entire home/apt,12,2.0,4.0,5.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Washer / Dryer"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$725.00,17,31,54,329,15,9.0,9.0,9.0,9.0,10.0,9.0,0.26
49,52423,0.032,0.7250000000000001,0.243,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,Iron,""Laptop Friendly Workspace""}",$349.00,29,59,89,364,4,8.0,9.0,10.0,8.0,9.0,9.0,0.07
50,54215,0.0018,0.7020000000000001,0.296,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector""}",$349.00,29,59,89,364,5,9.0,7.0,8.0,8.0,9.0,9.0,0.08
51,54487,0.0,0.485,0.515,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers}",$309.00,29,59,89,364,1,,,,,,,0.01
52,54944,0.0047142857142857,0.8521428571428571,0.143,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating}",$185.00,7,24,51,326,7,9.0,9.0,9.0,10.0,10.0,9.0,0.19
53,56927,0.036,0.6762,0.2878,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",Heating,Washer,Dryer}",$289.00,29,59,89,364,5,10.0,10.0,8.0,10.0,10.0,9.0,0.07
54,56937,0.0187,0.7584,0.2229,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$299.00,29,59,89,364,10,9.0,9.0,9.0,8.0,10.0,8.0,0.17
55,57156,0.0169999999999999,0.815764705882353,0.1672941176470588,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",Essentials}",$95.00,0,0,0,248,17,9.0,8.0,9.0,9.0,9.0,9.0,0.26
56,57800,0.0196683937823834,0.7086062176165803,0.2717616580310881,House,Private room,1,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly""}",$70.00,22,48,78,353,193,9.0,9.0,10.0,9.0,9.0,9.0,3.75
57,59776,0.0,0.8225,0.1775,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector""}",$270.00,30,60,90,365,2,,,,,,,0.06
58,60029,0.0111607142857142,0.6844821428571429,0.3043482142857143,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,""Laptop Friendly Workspace""}",$75.00,0,0,0,250,112,9.0,9.0,10.0,10.0,8.0,9.0,1.62
59,60356,0.0242,0.6826,0.2932,Condominium,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector""}",$175.00,0,0,0,82,5,9.0,9.0,10.0,10.0,10.0,9.0,0.15
60,66288,0.0303737623762376,0.7447871287128713,0.2248366336633663,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",$75.00,2,3,11,281,404,8.0,7.0,9.0,9.0,9.0,8.0,5.87
61,67774,0.0188181818181818,0.6101818181818182,0.371,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector""}",$110.00,0,0,0,248,11,10.0,9.0,10.0,10.0,10.0,9.0,0.24
62,67946,0.02,0.758,0.222,Apartment,Private room,3,,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$249.00,29,59,89,364,1,10.0,10.0,10.0,6.0,8.0,8.0,0.02
63,68902,0.0244999999999999,0.7331666666666666,0.2425,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",$359.00,29,59,89,364,6,10.0,9.0,9.0,9.0,10.0,8.0,0.12
64,69369,0.0116265060240963,0.6981566265060242,0.2901686746987952,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",$85.00,6,36,58,333,83,9.0,9.0,10.0,10.0,8.0,9.0,1.29
65,70481,0.0,0.6888333333333333,0.3111666666666666,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$175.00,0,0,0,259,6,10.0,9.0,10.0,9.0,10.0,9.0,0.09
66,72811,0.0141869918699187,0.6810650406504065,0.3047398373983739,Apartment,Private room,2,0.0,1.0,2.0,Real Bed,"{""Cable TV"",""Wireless Internet"",Heating,Essentials}",$62.00,23,50,80,355,123,9.0,8.0,9.0,9.0,9.0,9.0,1.84
