,listing_id,negative_sentiment,neutral_sentiment,positive_sentiment,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
3362,13577929,,,,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$200.00,0,0,0,0,0,,,,,,,
3363,4369675,,,,Apartment,Private room,1,1.0,1.0,1.0,Airbed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",$195.00,0,0,0,0,0,,,,,,,
3364,14707780,,,,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$79.00,10,37,67,157,0,,,,,,,
3365,8404805,,,,Other,Shared room,1,0.0,1.0,1.0,Couch,{},$225.00,30,60,90,365,0,,,,,,,
3366,12873438,,,,House,Entire home/apt,6,2.5,3.0,6.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$190.00,0,0,4,276,0,,,,,,,
3367,6449549,,,,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,{},$48.00,0,0,0,0,0,,,,,,,
3368,3318814,,,,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",$75.00,22,37,37,37,0,,,,,,,
3369,7840752,,,,House,Private room,1,2.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",$125.00,0,0,0,16,0,,,,,,,
3370,8626752,,,,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",$65.00,0,0,0,0,0,,,,,,,
3371,14754108,,,,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,Iron,""Laptop Friendly Workspace""}",$75.00,0,10,10,10,0,,,,,,,
3372,13656969,,,,House,Private room,1,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Laptop Friendly Workspace""}",$40.00,0,5,35,310,0,,,,,,,
3373,12739300,,,,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Gym,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",$70.00,5,35,65,340,0,,,,,,,
3374,9461126,,,,Condominium,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$200.00,0,0,0,0,0,,,,,,,
3375,14834257,,,,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Kitchen,""Elevator in Building"",Hangers}",$33.00,2,6,36,311,0,,,,,,,
3376,14473036,,,,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers}",$139.00,0,0,0,0,0,,,,,,,
3377,2943893,,,,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$99.00,0,0,0,0,0,,,,,,,
3378,7529525,,,,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{""Buzzer/Wireless Intercom"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",$300.00,29,59,89,364,0,,,,,,,
3379,9410831,,,,House,Private room,1,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",Kitchen,Heating,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Lock on Bedroom Door"",""24-Hour Check-in""}",$55.00,0,0,0,0,0,,,,,,,
3380,14864858,,,,Apartment,Entire home/apt,6,2.0,5.0,5.0,Real Bed,"{""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",Essentials,Hangers}",$195.00,24,54,84,359,0,,,,,,,
3381,11035352,,,,House,Private room,1,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$60.00,30,60,90,365,0,,,,,,,
